BLZ;eigene BLZ;Bezeichnung;PLZ;ORT;Kurzbezeichnung;PAN;BIC;Prüfziffer;lfd Nr;Änderungskennzeichen;Löschungsankündigung;Nachfolgeblz;IBAN
10220600;1;Sydbank Filiale Berlin;14193;Berlin;Sydbank Berlin;;SYBKDE22BER;19;056217;U;0;00000000;000000
10310600;1;Tradegate Wertpapierhandelsbank Berlin;10711;Berlin;Tradegate Berlin;25257;TRDADEB1PBK;09;055068;U;0;00000000;000000
11010100;1;solarisBank;10178;Berlin;solarisBank;;SOBKDEBBXXX;09;056731;U;0;00000000;000000
12016836;1;KfW Kreditanstalt für Wiederaufbau;10117;Berlin;KfW Berlin;;KFWIDEFF100;09;045444;U;0;00000000;000000
12030000;1;Deutsche Kreditbank Berlin;10117;Berlin;Deutsche Kreditbank Berlin;51011;BYLADEM1001;00;046023;U;0;00000000;000000
12030000;2;Deutsche Kreditbank;09111;Chemnitz;Deutsche Kreditbk Chemnitz;51011;;00;049243;U;0;00000000;000000
12030000;2;Deutsche Kreditbank;04109;Leipzig;Deutsche Kreditbank Leipzig;51011;;00;049244;U;0;00000000;000000
12030000;2;Deutsche Kreditbank;01069;Dresden;Deutsche Kreditbank Dresden;51011;;00;049245;U;0;00000000;000000
12030000;2;Deutsche Kreditbank;98527;Suhl;Deutsche Kreditbank Suhl;51011;;00;049246;U;0;00000000;000000
12030000;2;Deutsche Kreditbank;07545;Gera;Deutsche Kreditbank Gera;51011;;00;049247;U;0;00000000;000000
12030000;2;Deutsche Kreditbank;99084;Erfurt;Deutsche Kreditbank Erfurt;51011;;00;049248;U;0;00000000;000000
12030000;2;Deutsche Kreditbank;06122;Halle (Saale);Deutsche Kreditbank Halle;51011;;00;049249;U;0;00000000;000000
12030000;2;Deutsche Kreditbank;39104;Magdeburg;Deutsche Kreditbk Magdeburg;51011;;00;049250;U;0;00000000;000000
12030000;2;Deutsche Kreditbank;03046;Cottbus;Deutsche Kreditbank Cottbus;51011;;00;049251;U;0;00000000;000000
12030000;2;Deutsche Kreditbank;15230;Frankfurt (Oder);Deutsche Kreditbank Ff/Oder;51011;;00;049252;U;0;00000000;000000
12030000;2;Deutsche Kreditbank;14471;Potsdam;Deutsche Kreditbank Potsdam;51011;;00;049253;U;0;00000000;000000
12030000;2;Deutsche Kreditbank;17034;Neubrandenburg;Deutsche Kreditbk Neubrandb;51011;;00;049254;U;0;00000000;000000
12030000;2;Deutsche Kreditbank;19053;Schwerin;Deutsche Kreditbk Schwerin;51011;;00;049255;U;0;00000000;000000
12030000;2;Deutsche Kreditbank;18057;Rostock;Deutsche Kreditbank Rostock;51011;;00;049256;U;0;00000000;000000
12030000;2;Deutsche Kreditbank (Gf P2);10117;Berlin;Deutsche Kreditbank (Gf P2);51100;;00;055781;U;0;00000000;000000
12030900;1;Merck Finck Privatbankiers;10109;Berlin;Merck Finck Privatbankiers;26249;MEFIDEMM100;10;047484;U;0;00000000;000000
12040000;1;Commerzbank Filiale Berlin 2;10891;Berlin;Commerzbank Fil. Berlin 2;24120;COBADEBB120;13;044795;U;0;00000000;000503
12050555;1;NLB FinanzIT;10836;Berlin;NLB FinanzIT;;NOLADE21DVS;09;047224;U;0;00000000;000000
12060000;1;DZ BANK;10001;Berlin;DZ BANK;;GENODEFF120;09;044802;U;0;00000000;000000
12070000;1;Deutsche Bank Ld Brandenburg;14405;Potsdam;Deutsche Bank Ld Brandenbg;27704;DEUTDEBB160;63;044796;U;0;00000000;002002
12070000;2;Deutsche Bank;16252;Bad Freienwalde (Oder);Deutsche Bank Bad Freienwde;27704;DEUTDEBB172;63;046146;U;0;00000000;002002
12070000;2;Deutsche Bank;16311;Bernau bei Berlin;Deutsche Bank Bernau;27704;DEUTDEBB122;63;046147;U;0;00000000;002002
12070000;2;Deutsche Bank;14776;Brandenburg an der Havel;Deutsche Bank Brandenburg;27704;DEUTDEBB161;63;046148;U;0;00000000;002002
12070000;2;Deutsche Bank;03046;Cottbus;Deutsche Bank Cottbus;27704;DEUTDEBB180;63;046149;U;0;00000000;002002
12070000;2;Deutsche Bank;16225;Eberswalde;Deutsche Bank Eberswalde;27704;DEUTDEBB173;63;046150;U;0;00000000;002002
12070000;2;Deutsche Bank;15873;Eisenhüttenstadt;Deutsche Bank Eisenhüttenst;27704;DEUTDEBB174;63;046151;U;0;00000000;002002
12070000;2;Deutsche Bank;03232;Finsterwalde;Deutsche Bank Finsterwalde;27704;DEUTDEBB182;63;046152;U;0;00000000;002002
12070000;2;Deutsche Bank;15203;Frankfurt (Oder);Deutsche Bank Frankfurt Od;27704;DEUTDEBB170;63;046153;U;0;00000000;002002
12070000;2;Deutsche Bank;15501;Fürstenwalde/Spree;Deutsche Bank Fürstenwalde;27704;DEUTDEBB175;63;046154;U;0;00000000;002002
12070000;2;Deutsche Bank;14902;Jüterbog;Deutsche Bank Jüterbog;27704;DEUTDEBB187;63;046155;U;0;00000000;002002
12070000;2;Deutsche Bank;15701;Königs Wusterhausen;Deutsche Bank Königs Wuster;27704;DEUTDEBB121;63;046156;U;0;00000000;002002
12070000;2;Deutsche Bank;16856;Kyritz;Deutsche Bank Kyritz;27704;DEUTDEBB163;63;046157;U;0;00000000;002002
12070000;2;Deutsche Bank;16801;Neuruppin;Deutsche Bank Neuruppin;27704;DEUTDEBB123;63;046158;U;0;00000000;002002
12070000;2;Deutsche Bank;16502;Oranienburg;Deutsche Bank Oranienburg;27704;DEUTDEBB120;63;046159;U;0;00000000;002002
12070000;2;Deutsche Bank;10883;Berlin;Deutsche Bank Ld Brandenbg;27704;;63;046160;U;0;00000000;002002
12070000;2;Deutsche Bank;16921;Pritzwalk;Deutsche Bank Pritzwalk;27704;DEUTDEBB166;63;046161;U;0;00000000;002002
12070000;2;Deutsche Bank;14712;Rathenow;Deutsche Bank Rathenow;27704;DEUTDEBB167;63;046162;U;0;00000000;002002
12070000;2;Deutsche Bank;16285;Schwedt/Oder;Deutsche Bank Schwedt;27704;DEUTDEBB176;63;046163;U;0;00000000;002002
12070000;2;Deutsche Bank;15301;Seelow;Deutsche Bank Seelow;27704;DEUTDEBB177;63;046164;U;0;00000000;002002
12070000;2;Deutsche Bank;01968;Senftenberg;Deutsche Bank Senftenberg;27704;DEUTDEBB185;63;046165;U;0;00000000;002002
12070000;2;Deutsche Bank;03122;Spremberg;Deutsche Bank Spremberg;27704;DEUTDEBB186;63;046166;U;0;00000000;002002
12070000;2;Deutsche Bank;02931;Weißwasser/O.L.;Deutsche Bank Weißwasser;27704;DEUTDEBB189;63;046167;U;0;00000000;002002
12070000;2;Deutsche Bank;03161;Guben;Deutsche Bank Guben;27704;DEUTDEBB183;63;046168;U;0;00000000;002002
12070000;2;Deutsche Bank;16901;Wittstock/Dosse;Deutsche Bank Wittstock;27704;DEUTDEBB169;63;046169;U;0;00000000;002002
12070000;2;Deutsche Bank;15801;Zossen;Deutsche Bank Zossen;27704;DEUTDEBB124;63;046170;U;0;00000000;002002
12070000;2;Deutsche Bank;16278;Angermünde;Deutsche Bank Angermünde;27704;DEUTDEBB171;63;048454;U;0;00000000;002002
12070000;2;Deutsche Bank;14612;Falkensee;Deutsche Bank Falkensee;27704;DEUTDEBB162;63;048455;U;0;00000000;002002
12070000;2;Deutsche Bank;03149;Forst (Lausitz);Deutsche Bank Forst;27704;DEUTDEBB181;63;048456;U;0;00000000;002002
12070000;2;Deutsche Bank;16761;Hennigsdorf;Deutsche Bank Hennigsdorf;27704;DEUTDEBB125;63;048457;U;0;00000000;002002
12070000;2;Deutsche Bank;14943;Luckenwalde;Deutsche Bank Luckenwalde;27704;DEUTDEBB188;63;048458;U;0;00000000;002002
12070000;2;Deutsche Bank;14974;Ludwigsfelde;Deutsche Bank Ludwigsfelde;27704;DEUTDEBB164;63;048459;U;0;00000000;002002
12070000;2;Deutsche Bank;15907;Lübben (Spreewald);Deutsche Bank Lübben;27704;DEUTDEBB184;63;048460;U;0;00000000;002002
12070000;2;Deutsche Bank;01987;Schwarzheide;Deutsche Bank Schwarzheide;27704;DEUTDEBB126;63;048461;U;0;00000000;002002
12070000;2;Deutsche Bank;15344;Strausberg;Deutsche Bank Strausberg;27704;DEUTDEBB178;63;048462;U;0;00000000;002002
12070000;2;Deutsche Bank;14513;Teltow;Deutsche Bank Teltow;27704;DEUTDEBB127;63;048463;U;0;00000000;002002
12070000;2;Deutsche Bank;14542;Werder (Havel);Deutsche Bank Werder Havel;27704;DEUTDEBB168;63;048464;U;0;00000000;002002
12070000;2;Deutsche Bank;14641;Nauen;Deutsche Bank Nauen;27704;DEUTDEBB165;63;048515;U;0;00000000;002002
12070024;1;Deutsche Bank Privat und Geschäftskunden;14405;Potsdam;Deutsche Bank PGK Brandenbg;21704;DEUTDEDB160;63;049761;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden;16278;Angermünde;Deutsche Bank PGK Angermün;21704;DEUTDEDB171;63;049759;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden;16252;Bad Freienwalde (Oder);Deutsche Bank PGK Bad Freie;21704;DEUTDEDB172;63;049760;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden;16311;Bernau bei Berlin;Deutsche Bank PGK Bernau;21704;DEUTDEDB122;63;049762;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden F 704;14776;Brandenburg an der Havel;Deutsche Bank PGK Brandenbu;21704;DEUTDEDB161;63;049763;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden;03046;Cottbus;Deutsche Bank PGK Cottbus;21704;DEUTDEDB180;63;049764;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden;16225;Eberswalde;Deutsche Bank PGK Eberswald;21704;DEUTDEDB173;63;049765;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden;15873;Eisenhüttenstadt;Deutsche Bank PGK Eisenhütt;21704;DEUTDEDB174;63;049766;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden;14612;Falkensee;Deutsche Bank PGK Falkensee;21704;DEUTDEDB162;63;049767;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden;03232;Finsterwalde;Deutsche Bank PGK Finsterwa;21704;DEUTDEDB182;63;049768;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden;03149;Forst (Lausitz);Deutsche Bank PGK Forst;21704;DEUTDEDB181;63;049769;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden;15203;Frankfurt (Oder);Deutsche Bank PGK Frankfurt;21704;DEUTDEDB170;63;049770;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden;15501;Fürstenwalde/Spree;Deutsche Bank PGK Fürstenw;21704;DEUTDEDB175;63;049771;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden;03161;Guben;Deutsche Bank PGK Guben;21704;DEUTDEDB183;63;049772;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden;16761;Hennigsdorf;Deutsche Bank PGK Hennigsdo;21704;DEUTDEDB125;63;049773;U;0;00000000;002002
12070024;2;Deutsche Bank Privat und Geschäftskunden;14902;Jüterbog;Deutsche Bank PGK Jüterbog;21704;DEUTDEDB187;63;049774;U;0;00000000;002002
